CUSTOMER ID,CITY,STATE,SERVICE HISTORY,COMMON PROBLEM,SOLUTION USED,VEHICAL COMPANY,MANUFACTURE_YEAR
1,Ananthapuram,Andhra Pradesh,Oil Change; Brake Repair,Brake noise,Brake pad replacement, Maruti Suzuki,2014
2,Ananthapuram,Andhra Pradesh,Engine Repair; Tire Rotation,Engine overheating,Radiator replacement, Hyundai,2023
3,Ananthapuram,Andhra Pradesh,Bodywork; Paint Job,Dents and scratches,Body repair and repaint,Tata Motors,2025
4,Ananthapuram,Andhra Pradesh,Oil Change; General Maintenance,Oil leak,Oil seal replacement,Mahindra & Mahindra,2003
5,Ananthapuram,Andhra Pradesh,Tire Alignment; Engine Repair,Misaligned wheels,Wheel alignment,Honda,2024
6,Ananthapuram,Andhra Pradesh,Check Engine Light; Diagnostics,Check engine light,Diagnostic scan and repairs,Toyota,2015
7,Ananthapuram,Andhra Pradesh,Brake Service; Oil Change,Brake fluid leak,Brake fluid replacement, Ford,2018
8,Ananthapuram,Andhra Pradesh,Exhaust Repair; General Maintenance,Exhaust leak,Exhaust system repair,Nissan,2025
9,Ananthapuram,Andhra Pradesh,Transmission Service; Brake Fluid Change,Slipping transmission,Transmission fluid change,Volkswagen,2004
10,Ananthapuram,Andhra Pradesh,Body Repair; Tire Replacement,Body damage,Body repair,Renault,2025
11,Ananthapuram,Andhra Pradesh,Oil Change; Brake Inspection,Brake noise,Brake pad replacement,Hero MotoCorp,2008
12,Ananthapuram,Andhra Pradesh,Engine Diagnostics; Tune-Up,Engine misfiring,Spark plug replacement,Ford,2002
13,Ananthapuram,Andhra Pradesh,Suspension Repair; Brake Service,Steering issues,Suspension adjustment, Audi,2020
14,Ananthapuram,Andhra Pradesh,Tire Rotation; General Maintenance,Tire wear,Tire rotation and balancing,Skoda,2007
15,Ananthapuram,Andhra Pradesh,Transmission Fluid Change; Engine Repair,Transmission issues,Transmission service,Kia,2021
16,Ananthapuram,Andhra Pradesh,Brake Inspection; Diagnostics,Brake wear,Brake replacement,Bajaj Auto,2024
17,Ananthapuram,Andhra Pradesh,Oil Change; Tire Alignment,Misaligned wheels,Wheel alignment,Hero MotoCorp,2011
18,Ananthapuram,Andhra Pradesh,Exhaust Leak; General Maintenance,Exhaust noise,Exhaust system repair, TVS Motor Company,2002
19,Ananthapuram,Andhra Pradesh,Check Engine Light; Brake Fluid Change,Check engine light,Diagnostic scan,Royal Enfield,2001
20,Ananthapuram,Andhra Pradesh,Tire Replacement; Oil Change,Poor fuel economy,Fuel system cleaning, Honda (Motorcycle),2006
21,Ananthapuram,Andhra Pradesh,Fluid Leak; Tire Rotation,Fluid leak,Fluid replacement,Yamaha,2025
22,Ananthapuram,Andhra Pradesh,Engine Overheating; Diagnostics,Engine overheating,Cooling system flush,Suzuki (Motorcycle),2014
23,Ananthapuram,Andhra Pradesh,Transmission Repair; Brake Service,Transmission slipping,Transmission fluid change,Kia,2024
24,Ananthapuram,Andhra Pradesh,Oil Change; Battery Replacement,Dead battery,Battery replacement,Kia,2009
25,Ananthapuram,Andhra Pradesh,Tire Alignment; General Maintenance,Misaligned tires,Tire alignment, Tata Motors,2017
26,Ananthapuram,Andhra Pradesh,Brake Inspection; Oil Change,Brake noise,Brake pad replacement,Maruti Suzuki,2015
27,Ananthapuram,Andhra Pradesh,Engine Diagnostics; Tune-Up,Engine misfiring,Spark plug replacement, Ford,2006
28,Ananthapuram,Andhra Pradesh,Suspension Repair; Brake Service,Steering issues,Suspension adjustment, Honda,2018
29,Ananthapuram,Andhra Pradesh,Tire Rotation; General Maintenance,Tire wear,Tire rotation and balancing,Toyota,2011
30,Ananthapuram,Andhra Pradesh,Transmission Fluid Change; Engine Repair,Transmission issues,Transmission service,Mahindra & Mahindra,2011
31,Ananthapuram,Andhra Pradesh,Brake Inspection; Diagnostics,Brake wear,Brake replacement,Nissan,2025
32,Ananthapuram,Andhra Pradesh,Oil Change; Tire Alignment,Misaligned wheels,Wheel alignment, Volkswagen,2009
33,Ananthapuram,Andhra Pradesh,Exhaust Leak; General Maintenance,Exhaust noise,Exhaust system repair,Renault,2016
34,Ananthapuram,Andhra Pradesh,Check Engine Light; Brake Fluid Change,Check engine light,Diagnostic scan, Hyundai,2023
35,Ananthapuram,Andhra Pradesh,Tire Replacement; Oil Change,Poor fuel economy,Fuel system cleaning, Bajaj Auto,2004
36,Ananthapuram,Andhra Pradesh,Fluid Leak; Tire Rotation,Fluid leak,Fluid replacement,TVS Motor Company,2001
37,Ananthapuram,Andhra Pradesh,Engine Overheating; Diagnostics,Engine overheating,Cooling system flush, Hero MotoCorp,2004
38,Ananthapuram,Andhra Pradesh,Transmission Repair; Brake Service,Transmission slipping,Transmission fluid change,Toyota,2013
39,Ananthapuram,Andhra Pradesh,Oil Change; Battery Inspection,Dead battery,Battery replacement, Hyundai,2009
40,Ananthapuram,Andhra Pradesh,Tire Alignment; General Maintenance,Tire wear,Tire rotation, Honda,2021
41,Ananthapuram,Andhra Pradesh,Brake Repair; Oil Change,Brake squeal,Brake pad replacement,Tvs,2025
42,Ananthapuram,Andhra Pradesh,Engine Check; Suspension Repair,Steering issues,Suspension adjustment, Kia,2024
43,Ananthapuram,Andhra Pradesh,Exhaust Repair; Brake Service,Exhaust noise,Exhaust system repair, Tata Motors,2009
44,Ananthapuram,Andhra Pradesh,Transmission Service; Oil Change,Slipping transmission,Transmission fluid change,Maruti Suzuki,2000
45,Ananthapuram,Andhra Pradesh,Fluid Check; Tire Replacement,Poor fuel economy,Fuel system cleaning,Honda,2005
46,Ananthapuram,Andhra Pradesh,Check Engine Light; General Maintenance,Check engine light,Diagnostic scan,Royal Enfield,2002
47,Ananthapuram,Andhra Pradesh,Brake Fluid Change; Engine Repair,Brake fluid leak,Brake fluid replacement, Yamaha,2019
48,Ananthapuram,Andhra Pradesh,Tire Alignment; Oil Change,Misaligned wheels,Wheel alignment, KTM,2022
49,Ananthapuram,Andhra Pradesh,Oil Change; Battery Replacement,Dead battery,Battery replacement,Suzuki (Motorcycle),2022
50,Ananthapuram,Andhra Pradesh,Engine Diagnostics; Tire Rotation,Engine misfiring,Spark plug replacement,Tvs ,2021
51,Ananthapuram,Andhra Pradesh,Brake Inspection; General Maintenance,Brake noise,Brake pad replacement, Ford,2008
52,Ananthapuram,Andhra Pradesh,Exhaust Leak; Oil Change,Exhaust noise,Exhaust system repair,Mahindra & Mahindra,2021
53,Ananthapuram,Andhra Pradesh,Transmission Repair; Brake Fluid Change,Transmission slipping,Transmission fluid change, Nissan,2003
54,Ananthapuram,Andhra Pradesh,Oil Change; Battery Check,Dead battery,Battery replacement,Volkswagen,2001
55,Ananthapuram,Andhra Pradesh,Fluid Leak; Tire Alignment,Fluid leak,Fluid replacement, Hyundai,2024
56,Ananthapuram,Andhra Pradesh,Suspension Repair; Engine Check,Steering issues,Suspension adjustment,Toyota,2021
57,Ananthapuram,Andhra Pradesh,Brake Service; General Maintenance,Brake wear,Brake replacement, Bajaj Auto,2002
58,Ananthapuram,Andhra Pradesh,Exhaust Repair; Oil Change,Exhaust noise,Exhaust system repair,TVS Motor Company,2016
59,Ananthapuram,Andhra Pradesh,"Oil Change, Brake Inspection",Engine overheating,Check coolant level; flush radiator; replace thermostat., Hero Motocrop,2003
60,Ananthapuram,Andhra Pradesh,"Tire Rotation, Brake Replacement",Brakes making noise,Inspect pads/rotors; replace if worn., Mercedes-Benz,2013
61, Ananthapuram, Andhra Pradesh, Transmission Service; Diagnostics, Transmission slipping, Transmission fluid change, Tata Motors,2003
62, Ananthapuram, Andhra Pradesh, Tire Replacement; Oil Change, Poor fuel economy, Fuel system cleaning, Ford,2011
63, Ananthapuram, Andhra Pradesh, Exhaust Repair; Brake Service, Exhaust noise, Exhaust system repair, Hyundai,2001
64, Ananthapuram, Andhra Pradesh, Brake Inspection; Tire Rotation, Misaligned wheels, Wheel alignment, Nissan,2010
65, Ananthapuram, Andhra Pradesh, General Maintenance; Engine Check, Engine misfiring, Spark plug replacement, Volkswagen,2005
66, Ananthapuram, Andhra Pradesh, Suspension Repair; Oil Change, Steering issues, Suspension adjustment, Kia,2014
67, Ananthapuram, Andhra Pradesh, Engine Repair; Tire Alignment, Misaligned tires, Tire alignment, Toyota,2016
68, Ananthapuram, Andhra Pradesh, Battery Replacement; General Maintenance, Dead battery, Battery replacement, Hero MotoCorp,2008
69, Ananthapuram, Andhra Pradesh, Exhaust Leak; Diagnostics, Exhaust leak, Exhaust system repair, Bajaj Auto,2009
70, Ananthapuram, Andhra Pradesh, Oil Change; Brake Fluid Change, Brake fluid leak, Brake fluid replacement, Mahindra,2019
71, Ananthapuram, Andhra Pradesh, Tire Alignment; General Maintenance, Tire wear, Tire rotation and balancing, Renault,2016
72, Ananthapuram, Andhra Pradesh, Engine Overheating; Tune-Up, Engine overheating, Cooling system flush, Audi,2015
73, Ananthapuram, Andhra Pradesh, Brake Repair; Tire Replacement, Body damage, Body repair, Volkswagen,2021
74, Ananthapuram, Andhra Pradesh, Fluid Leak; Oil Change, Fluid leak, Fluid replacement, TVS Motor Company,2009
75, Ananthapuram, Andhra Pradesh, General Maintenance; Engine Diagnostics, Check engine light, Diagnostic scan, Hero MotoCorp,2017
76, Ananthapuram, Andhra Pradesh, Brake Service; Oil Change, Brake wear, Brake replacement, Hyundai,2010
77, Ananthapuram, Andhra Pradesh, Tire Replacement; Engine Check, Tire wear, Tire rotation and balancing, Bajaj Auto,2025
78, Ananthapuram, Andhra Pradesh, Exhaust Repair; Brake Fluid Change, Exhaust noise, Exhaust system repair, Ford,2016
79, Ananthapuram, Andhra Pradesh, Oil Change; Brake Inspection, Brake noise, Brake pad replacement, Maruti Suzuki,2011
80, Ananthapuram, Andhra Pradesh, Engine Repair; Diagnostics, Engine misfire, Diagnostic scan, Nissan,2002
81, Ananthapuram, Andhra Pradesh, Tire Rotation; Brake Service, Tire wear, Tire rotation and balancing, Hyundai,2022
82, Ananthapuram, Andhra Pradesh, Fluid Check; Oil Change, Low oil, Oil replacement, Ford,2003
83, Ananthapuram, Andhra Pradesh, Brake Inspection; General Maintenance, Brake noise, Brake pad replacement, Mahindra,2003
84, Ananthapuram, Andhra Pradesh, Engine Diagnostics; Tune-Up, Engine roughness, Spark plug replacement, Toyota,2017
85, Ananthapuram, Andhra Pradesh, Transmission Fluid Change; Brake Service, Slipping transmission, Transmission fluid change, Volkswagen,2014
86, Ananthapuram, Andhra Pradesh, General Maintenance; Tire Inspection, Tire wear, Tire rotation, Audi,2011
87, Ananthapuram, Andhra Pradesh, Oil Change; Brake Fluid Change, Brake fluid leak, Brake fluid replacement, Tata Motors,2024
88, Ananthapuram, Andhra Pradesh, Exhaust Repair; Engine Check, Exhaust noise, Exhaust system repair, Bajaj Auto,2023
89, Ananthapuram, Andhra Pradesh, Battery Inspection; General Maintenance, Dead battery, Battery replacement, Hero MotoCorp,2006
90, Ananthapuram, Andhra Pradesh, Fluid Leak; Tire Rotation, Fluid leak, Fluid replacement, TVS Motor Company,2012
91, Ananthapuram, Andhra Pradesh, Engine Repair; Brake Service, Engine overheating, Cooling system flush, Hyundai,2023
92, Ananthapuram, Andhra Pradesh, Brake Inspection; Oil Change, Brake noise, Brake pad replacement, Ford,2025
93, Ananthapuram, Andhra Pradesh, Tire Replacement; Diagnostics, Tire damage, Tire replacement, Tata Motors,2008
94, Ananthapuram, Andhra Pradesh, General Maintenance; Engine Repair, Engine misfiring, Spark plug replacement, Nissan,2015
95, Ananthapuram, Andhra Pradesh, Suspension Repair; Oil Change, Steering issues, Suspension adjustment, Kia,2005
96, Ananthapuram, Andhra Pradesh, Brake Service; Tire Inspection, Brake wear, Brake pad replacement, Hero MotoCorp,2020
97, Ananthapuram, Andhra Pradesh, Fluid Check; Engine Diagnostics, Fluid leak, Fluid replacement, Volkswagen,2020
98, Ananthapuram, Andhra Pradesh, Tire Alignment; Brake Inspection, Misaligned tires, Tire alignment, Mahindra,2012
99, Ananthapuram, Andhra Pradesh, Exhaust Leak; General Maintenance, Exhaust noise, Exhaust system repair, Toyota,2015
100, Ananthapuram, Andhra Pradesh, Brake Repair; Oil Change, Brake noise, Brake pad replacement, Audi,2014
101, Ananthapuram, Andhra Pradesh, Oil Change; Brake Repair, Brake noise, Brake pad replacement, Honda,2014
102, Ananthapuram, Andhra Pradesh, Transmission Service; Diagnostics, Transmission slipping, Transmission fluid change, Tata Motors,2014
103, Ananthapuram, Andhra Pradesh, Tire Replacement; Oil Change, Poor fuel economy, Fuel system cleaning, Ford,2011
104, Ananthapuram, Andhra Pradesh, Exhaust Repair; Brake Service, Exhaust noise, Exhaust system repair, Hyundai,2014
105, Ananthapuram, Andhra Pradesh, Brake Inspection; Tire Rotation, Misaligned wheels, Wheel alignment, Nissan,2024
106, Ananthapuram, Andhra Pradesh, General Maintenance; Engine Check, Engine misfiring, Spark plug replacement, Volkswagen,2005
107, Ananthapuram, Andhra Pradesh, Suspension Repair; Oil Change, Steering issues, Suspension adjustment, Kia,2003
108, Ananthapuram, Andhra Pradesh, Engine Repair; Tire Alignment, Misaligned tires, Tire alignment, Toyota,2010
109, Ananthapuram, Andhra Pradesh, Battery Replacement; General Maintenance, Dead battery, Battery replacement, Hero MotoCorp,2014
110, Ananthapuram, Andhra Pradesh, Exhaust Leak; Diagnostics, Exhaust leak, Exhaust system repair, Bajaj Auto,2007
111, Ananthapuram, Andhra Pradesh, Oil Change; Brake Fluid Change, Brake fluid leak, Brake fluid replacement, Mahindra,2000
112, Ananthapuram, Andhra Pradesh, Tire Alignment; General Maintenance, Tire wear, Tire rotation and balancing, Renault,2002
113, Ananthapuram, Andhra Pradesh, Engine Overheating; Tune-Up, Engine overheating, Cooling system flush, Audi,2007
114, Ananthapuram, Andhra Pradesh, Brake Repair; Tire Replacement, Body damage, Body repair, Volkswagen,2000
115, Ananthapuram, Andhra Pradesh, Fluid Leak; Oil Change, Fluid leak, Fluid replacement, TVS Motor Company,2008
116, Ananthapuram, Andhra Pradesh, General Maintenance; Engine Diagnostics, Check engine light, Diagnostic scan, Hero MotoCorp,2006
117, Ananthapuram, Andhra Pradesh, Brake Service; Oil Change, Brake wear, Brake replacement, Hyundai,2006
118, Ananthapuram, Andhra Pradesh, Tire Replacement; Engine Check, Tire wear, Tire rotation and balancing, Bajaj Auto,2012
119, Ananthapuram, Andhra Pradesh, Exhaust Repair; Brake Fluid Change, Exhaust noise, Exhaust system repair, Ford,2018
120, Ananthapuram, Andhra Pradesh, Oil Change; Brake Inspection, Brake noise, Brake pad replacement, Maruti Suzuki,2013
121, Ananthapuram, Andhra Pradesh, Engine Repair; Diagnostics, Engine misfire, Diagnostic scan, Nissan,2018
122, Ananthapuram, Andhra Pradesh, Tire Rotation; Brake Service, Tire wear, Tire rotation and balancing, Hyundai,2024
123, Ananthapuram, Andhra Pradesh, Fluid Check; Oil Change, Low oil, Oil replacement, Ford,2024
124, Ananthapuram, Andhra Pradesh, Brake Inspection; General Maintenance, Brake noise, Brake pad replacement, Mahindra,2008
125, Ananthapuram, Andhra Pradesh, Engine Diagnostics; Tune-Up, Engine roughness, Spark plug replacement, Toyota,2001
126, Ananthapuram, Andhra Pradesh, Transmission Fluid Change; Brake Service, Slipping transmission, Transmission fluid change, Volkswagen,2007
127, Ananthapuram, Andhra Pradesh, General Maintenance; Tire Inspection, Tire wear, Tire rotation, Audi,2011
128, Ananthapuram, Andhra Pradesh, Oil Change; Brake Fluid Change, Brake fluid leak, Brake fluid replacement, Tata Motors,2004
129, Ananthapuram, Andhra Pradesh, Exhaust Repair; Engine Check, Exhaust noise, Exhaust system repair, Bajaj Auto,2022
130, Ananthapuram, Andhra Pradesh, Battery Inspection; General Maintenance, Dead battery, Battery replacement, Hero MotoCorp,2003
131, Ananthapuram, Andhra Pradesh, Fluid Leak; Tire Rotation, Fluid leak, Fluid replacement, TVS Motor Company,2023
132, Ananthapuram, Andhra Pradesh, Engine Repair; Brake Service, Engine overheating, Cooling system flush, Hyundai,2000
133, Ananthapuram, Andhra Pradesh, Brake Inspection; Oil Change, Brake noise, Brake pad replacement, Ford,2002
134, Ananthapuram, Andhra Pradesh, Tire Replacement; Diagnostics, Tire damage, Tire replacement, Tata Motors,2013
135, Ananthapuram, Andhra Pradesh, General Maintenance; Engine Repair, Engine misfiring, Spark plug replacement, Nissan,2003
136, Ananthapuram, Andhra Pradesh, Suspension Repair; Oil Change, Steering issues, Suspension adjustment, Kia,2010
137, Ananthapuram, Andhra Pradesh, Brake Service; Tire Inspection, Brake wear, Brake pad replacement, Hero MotoCorp,2024
138, Ananthapuram, Andhra Pradesh, Fluid Check; Engine Diagnostics, Fluid leak, Fluid replacement, Volkswagen,2013
139, Ananthapuram, Andhra Pradesh, Tire Alignment; Brake Inspection, Misaligned tires, Tire alignment, Mahindra,2015
140, Ananthapuram, Andhra Pradesh, Exhaust Leak; General Maintenance, Exhaust noise, Exhaust system repair, Toyota,2002
141, Ananthapuram, Andhra Pradesh, Brake Repair; Oil Change, Brake noise, Brake pad replacement, Audi,2012
142, Ananthapuram, Andhra Pradesh, Oil Change; Brake Repair, Brake noise, Brake pad replacement, Honda,2021
143, Ananthapuram, Andhra Pradesh, Transmission Service; Diagnostics, Transmission slipping, Transmission fluid change, Tata Motors,2025
144, Ananthapuram, Andhra Pradesh, Tire Replacement; Oil Change, Poor fuel economy, Fuel system cleaning, Ford,2007
145, Ananthapuram, Andhra Pradesh, Exhaust Repair; Brake Service, Exhaust noise, Exhaust system repair, Hyundai,2024
146, Ananthapuram, Andhra Pradesh, Brake Inspection; Tire Rotation, Misaligned wheels, Wheel alignment, Nissan,2011
147, Ananthapuram, Andhra Pradesh, General Maintenance; Engine Check, Engine misfiring, Spark plug replacement, Volkswagen,2024
148, Ananthapuram, Andhra Pradesh, Suspension Repair; Oil Change, Steering issues, Suspension adjustment, Kia,2020
149, Ananthapuram, Andhra Pradesh, Engine Repair; Tire Alignment, Misaligned tires, Tire alignment, Toyota,2002
150, Ananthapuram, Andhra Pradesh, Battery Replacement; General Maintenance, Dead battery, Battery replacement, Hero MotoCorp,2012
151, Ananthapuram, Andhra Pradesh, Exhaust Leak; Diagnostics, Exhaust leak, Exhaust system repair, Bajaj Auto,2005
152, Ananthapuram, Andhra Pradesh, Oil Change; Brake Fluid Change, Brake fluid leak, Brake fluid replacement, Mahindra,2017
153, Ananthapuram, Andhra Pradesh, Tire Alignment; General Maintenance, Tire wear, Tire rotation and balancing, Renault,2012
154, Ananthapuram, Andhra Pradesh, Engine Overheating; Tune-Up, Engine overheating, Cooling system flush, Audi,2004
155, Ananthapuram, Andhra Pradesh, Brake Repair; Tire Replacement, Body damage, Body repair, Volkswagen,2012
156, Ananthapuram, Andhra Pradesh, Fluid Leak; Oil Change, Fluid leak, Fluid replacement, TVS Motor Company,2011
157, Ananthapuram, Andhra Pradesh, General Maintenance; Engine Diagnostics, Check engine light, Diagnostic scan, Hero MotoCorp,2014
158, Ananthapuram, Andhra Pradesh, Brake Service; Oil Change, Brake wear, Brake replacement, Hyundai,2017
159, Ananthapuram, Andhra Pradesh, Tire Replacement; Engine Check, Tire wear, Tire rotation and balancing, Bajaj Auto,2023
160, Ananthapuram, Andhra Pradesh, Exhaust Repair; Brake Fluid Change, Exhaust noise, Exhaust system repair, Ford,2009
161, Ananthapuram, Andhra Pradesh, Oil Change; Brake Inspection, Brake noise, Brake pad replacement, Maruti Suzuki,2021
162, Ananthapuram, Andhra Pradesh, Engine Repair; Diagnostics, Engine misfire, Diagnostic scan, Nissan,2017
163, Ananthapuram, Andhra Pradesh, Tire Rotation; Brake Service, Tire wear, Tire rotation and balancing, Hyundai,2013
164, Ananthapuram, Andhra Pradesh, Fluid Check; Oil Change, Low oil, Oil replacement, Ford,2015
165, Ananthapuram, Andhra Pradesh, Brake Inspection; General Maintenance, Brake noise, Brake pad replacement, Mahindra,2016
166, Ananthapuram, Andhra Pradesh, Engine Diagnostics; Tune-Up, Engine roughness, Spark plug replacement, Toyota,2007
167, Ananthapuram, Andhra Pradesh, Transmission Fluid Change; Brake Service, Slipping transmission, Transmission fluid change, Volkswagen,2001
168, Ananthapuram, Andhra Pradesh, General Maintenance; Tire Inspection, Tire wear, Tire rotation, Audi,2013
169, Ananthapuram, Andhra Pradesh, Oil Change; Brake Fluid Change, Brake fluid leak, Brake fluid replacement, Tata Motors,2019
170, Ananthapuram, Andhra Pradesh, Exhaust Repair; Engine Check, Exhaust noise, Exhaust system repair, Bajaj Auto,2005
171, Ananthapuram, Andhra Pradesh, Battery Inspection; General Maintenance, Dead battery, Battery replacement, Hero MotoCorp,2005
172, Ananthapuram, Andhra Pradesh, Fluid Leak; Tire Rotation, Fluid leak, Fluid replacement, TVS Motor Company,2018
173, Ananthapuram, Andhra Pradesh, Engine Repair; Brake Service, Engine overheating, Cooling system flush, Hyundai,2005
